date,campaign_id,impressions,clicks,leads,purchases,revenue,cost
2025-07-15,C001,10662,122,9,1,64.13,111.54
2025-07-16,C001,4759,63,4,0,0.0,62.67
2025-07-17,C001,8581,127,10,1,50.49,124.47
2025-07-18,C001,11141,200,16,1,45.87,212.63
2025-07-19,C001,9997,96,8,1,45.9,86.9
2025-07-20,C001,9166,121,9,1,60.8,131.86
2025-07-21,C001,5029,72,6,0,0.0,70.64
2025-07-22,C001,5886,95,7,0,0.0,87.23
2025-07-23,C001,10414,191,17,2,159.16,189.42
2025-07-24,C001,8128,115,8,1,45.1,117.8
2025-07-25,C001,10126,160,16,2,80.9,150.98
2025-07-26,C001,7027,125,10,1,47.04,119.14
2025-07-27,C001,6755,99,9,1,31.96,96.91
2025-07-28,C001,9234,166,9,1,65.97,132.76
2025-07-29,C001,10778,173,12,1,71.61,168.18
2025-07-30,C001,9300,109,8,1,63.52,113.9
2025-07-31,C001,7253,128,9,1,61.39,131.87
2025-08-01,C001,11485,185,16,2,172.93,172.14
2025-08-02,C001,10631,136,11,1,40.09,113.03
2025-08-03,C001,6609,99,8,1,42.33,72.32
2025-08-04,C001,7937,120,10,1,67.97,116.61
2025-08-05,C001,7923,107,8,1,54.35,106.95
2025-08-06,C001,8462,136,7,0,0.0,99.05
2025-08-07,C001,9626,127,10,1,74.67,119.82
2025-08-08,C001,10357,123,8,0,0.0,112.67
2025-08-09,C001,15351,161,13,1,64.6,150.95
2025-08-10,C001,9278,115,8,0,0.0,113.92
2025-08-11,C001,8746,130,12,1,41.57,136.68
2025-08-12,C001,9946,148,11,1,82.02,169.8
2025-08-13,C001,8380,140,9,1,58.69,137.17
2025-08-14,C001,4322,37,2,0,0.0,41.96
2025-08-15,C001,6680,99,7,0,0.0,99.87
2025-08-16,C001,10520,117,9,1,61.63,127.08
2025-08-17,C001,9858,136,10,1,64.08,118.2
2025-08-18,C001,9949,148,11,1,55.36,153.75
2025-08-19,C001,5112,45,2,0,0.0,39.67
2025-08-20,C001,1578,19,2,0,0.0,18.89
2025-08-21,C001,5164,73,5,0,0.0,73.98
2025-08-22,C001,7505,135,9,1,74.76,125.8
2025-08-23,C001,7868,139,11,1,77.46,127.27
2025-08-24,C001,5833,88,5,0,0.0,93.2
